,okved,cluster
1091,CT45A8,281
1092,MIR548AJ1,274
1093,C8A,154
1094,TRAJ42,1
1095,TRAJ49,1
1096,TRBJ1-1,81
1097,POLI,130
1098,OR5G4P,84
1099,MIR302D,170
1100,H2AB2,303
1101,OR4R1P,125
1102,H4C4,9
1103,PCDHGC4,25
1104,GET1-SH3BGR,230
1105,MIR6514,251
1106,H3C2,49
1107,FXYD6P3,138
1108,MIR6852,32
1109,RTL8B,76
1110,BAGE4,83
1111,MIR10392,286
1112,MIR8052,112
1113,MIR8053,40
1114,ATP8B3,86
1115,MIR3910-1,315
1116,IGKV3-15,22
1117,OR4V1P,30
1118,MIR4283-1,214
1119,IGKV1-8,82
1120,MIR550B1,212
1121,TRAV26-1,16
1122,FAM246C,279
1123,OR4A44P,90
1124,CDK11A,265
1125,H2AC15,254
1126,MIR3911,79
1127,PRAMEF2,54
1128,OR52J2P,110
1129,MIR6816,176
1130,MT-ND5,127
1131,CT47A12,78
1132,MIR6722,301
1133,H2BC8,202
1134,MIR5590,177
1135,PCDHGA2,25
1136,PCDHGB1,25
1137,OSCAR,58
1138,MIR8065,118
1139,MIR6715A,146
1140,MIR4501,173
1141,MIR7851,52
1142,MIR8054,112
1143,MIR5701-3,143
1144,NCF1C,75
1145,MIR5583-2,292
1146,SEPTIN12,133
1147,MIR4275,153
1148,IGLV4-69,85
1149,MIR3130-1,245
1150,OR13E1P,79
1151,OR6D1P,98
1152,MIR6749,112
1153,MIR6856,10
1154,TRAV25,175
1155,MIR3156-3,266
1156,TRAJ16,1
1157,MIR3689D1,153
1158,OR4U1P,160
1159,MIR3913-2,124
1160,MIR151B,32
1161,OR52X1P,46
1162,OR4T1P,160
1163,H2AC9P,166
1164,RBMY1F,144
1165,SPDYE5,59
1166,MIR3672,95
1167,MIR3187,71
1168,MIR6769A,43
1169,MT-ND2,127
1170,MIR7975,200
1171,MIR3180-3,62
1172,MIR3118-4,109
1173,IGHV3-66,116
1174,NOP9,174
1175,OR56A7P,46
1176,MIR6887,200
1177,OR52N5,97
1178,MIR890,21
1179,PLSCR4,86
1180,TRAV12-1,16
1181,SNORA75B,40
1182,MIR512-1,287
1183,PRR30,3
1184,GOLGA8K,18
1185,MIR6877,109
1186,OR4A13P,30
1187,OR5AL2P,84
1188,H3C12,49
1189,TRBV6-9,26
1190,RBMY1D,144
1191,TRAV12-3,103
1192,TRBV5-4,16
1193,USP17L30,44
1194,TRBV5-3,290
1195,IGHV1-3,116
1196,OR52Y1P,172
1197,MIR4315-1,158
