okved,cluster
PCDHGA12,35
IGKV3-20,25
PRAMEF15,56
TRBJ1-2,81
IGHV3-30,25
IGKV1-5,75
OR51P1P,53
TRAJ36,0
MIR6800,6
MIR7114,7
TRAJ52,0
MIR4685,40
MIR6507,64
H3C15,29
OR11G1P,54
IGKV2-28,25
H4C15,60
PLA2G5,44
TRAJ5,0
PLSCR5,3
MIR6854,48
OR2AH1P,36
PRAMEF4,56
MIR6832,73
MIR7703,20
H1-7,34
IGHV3-49,49
TRBV2,46
MIR6743,7
MIR6757,69
OR5BN2P,38
MIR6731,28
IGHV1-69-2,49
PRAMEF18,56
PRAMEF6,56
TRAJ12,0
OR7A18P,51
IGLV10-54,14
OR4A43P,11
MIR4776-1,75
IGKV1-17,25
OR8F1P,13
TRAJ51,79
TRAJ47,0
ATP10A,3
MIR8485,23
OR4A21P,27
MIR6742,7
IGKV1D-37,76
TRBV6-6,66
OR13D2P,2
MIR3915,21
TRAJ42,0
TRAJ49,0
TRBJ1-1,81
OR5G4P,36
OR4R1P,42
H4C4,60
PCDHGC4,35
H3C2,29
MIR6852,67
RTL8B,57
MIR8052,4
MIR8053,78
ATP8B3,3
IGKV3-15,25
OR4V1P,27
IGKV1-8,83
TRAV26-1,8
OR4A44P,11
OR52J2P,5
MT-ND5,39
CT47A12,19
MIR5590,33
PCDHGA2,35
PCDHGB1,35
MIR8065,65
MIR4501,12
MIR7851,69
MIR8054,4
MIR5701-3,87
SEPTIN12,34
MIR4275,41
IGLV4-69,14
OR6D1P,2
MIR6749,4
MIR6856,48
TRAV25,80
TRAJ16,0
MIR3689D1,41
OR4U1P,45
MIR151B,67
OR52X1P,53
OR4T1P,45
RBMY1F,82
MIR3672,21
MIR3187,40
MIR6769A,1
MT-ND2,39
MIR7975,6
MIR3118-4,50
IGHV3-66,49
OR56A7P,53
MIR6887,6
PLSCR4,3
TRAV12-1,8
SNORA75B,78
GOLGA8K,71
MIR6877,50
OR4A13P,27
OR5AL2P,36
H3C12,29
TRBV6-9,66
RBMY1D,82
TRAV12-3,46
TRBV5-4,8
USP17L30,32
IGHV1-3,49
OR52Y1P,37
OR4A12P,27
MIR3689F,41
FOXL3-OT1,12
H2BC9,62
LUNAR1,87
TRBV10-1,66
TRBV11-3,80
TRAV29DV5,8
MIR7106,69
GOLGA8Q,71
OR4A40P,42
MIR3157,55
OR7E111P,54
FAM90A7,24
IGLV3-9,83
MIR6741,67
OR6C5P,43
MIR4776-2,75
MIR3168,12
MIR6895,21
MIR548S,23
PCDHGB2,35
TRAV27,80
DUX4L7,17
IGLV1-51,18
OR7E85P,53
TRBV7-6,66
MIR451B,40
MIR6815,67
OR5AQ1P,27
MIR7852,28
OR5B15P,63
TRAV17,8
SLC35G4,86
MIR3118-2,87
TRAJ57,0
OR5P4P,5
IGHV1-2,25
CT47A10,19
MIR6838,7
H3C4,29
H2BC21,62
USP17L18,32
MIR6772,65
MIR6768,58
TRBJ1-6,81
TRAJ20,0
IGHV3OR15-7,26
TRBV7-7,66
TRBV3-1,8
MIR941-3,70
TRAV37,79
TRAJ38,0
IGKV1D-16,18
OR51F4P,5
OR8L1P,27
IGLV5-39,72
RTL8A,57
IGHV3OR16-8,26
IGLV3-10,83
MIR6755,4
IGKV6-21,76
OR4D7P,63
IGHV4-61,49
OR4K2,86
TRAV13-2,8
TRAJ9,0
OR4R3P,42
OR51A6P,5
TRBJ2-7,77
IGKV2D-30,18
TRNAD-GUC,52
OR11N1P,31
MIR6511A4,65
OR5AP1P,27
IGLV3-1,25
MIR6862-2,59
MIR3689D2,41
MIR7976,61
IGHV2-5,18
TRBV6-7,77
MIR4667,40
MIR6827,68
PCDHGB6,35
OR7E23P,54
TEX44,34
MIR7705,20
OR7E43P,54
IGLC7,25
TRBV6-3,77
MIR1295B,28
OR6C72P,43
MIR6127,7
PCDHGB7,35
IGHV3-23,25
IGKV5-2,18
TRAJ27,0
OR7E25P,51
H3C8,29
MIR4259,28
MIR4307,41
ATP8B2,3
IGHV4-59,25
RN7SKP60,2
OR2B3,86
IGHV4-38-2,72
OR7G15P,51
MIR6857,21
TRAV8-2,8
TRAJ24,0
IGHV4-30-2,26
IGLV2-18,14
IGKV2D-24,76
TRAJ7,0
MIR514A1,16
TRDV1,8
IGHV3-33,18
TRNAA-AGC,52
TRAV8-6,8
MT-ND6,39
MIR4448,67
IGKV1D-43,76
MIR5701-1,87
MIR3179-4,58
IGKV2D-26,76
MIR3121,55
IGKV3D-7,76
TRAV4,8
TRBJ2-6,77
OR7A8P,51
OR6C7P,43
OR7E31P,54
OR52B1P,53
USP17L24,32
IGHV6-1,49
MIR6888,23
MIR4730,40
OR8Q1P,13
MIR3670-1,58
OR7E105P,53
FAM90A19,24
MIR3158-2,83
TRAJ54,0
TRAJ44,0
IGHV3-73,25
IGHV4-28,49
KRTAP4-7,Singleton
OR2J2,Singleton
ASB18,Singleton
DUSP21,Singleton
OR11A1,Singleton
OR3A1,Singleton
OR7A10,Singleton
OR1E1,Singleton
OR3A3,Singleton
OR6A2,Singleton
UBE2U,Singleton
OR2F2,Singleton
CDRT4,Singleton
GAGE1,Singleton
ASB12,Singleton
DNAJB8,Singleton
TAS2R9,Singleton
SPATA3,Singleton
POTEG,Singleton
GTSF1L,Singleton
VCX2,Singleton
PABPC1L2A,Singleton
KRT71,Singleton
TBATA,Singleton
TAS2R8,Singleton
TAAR2,Singleton
TAS2R1,Singleton
C1QTNF9,Singleton
IFNL1,Singleton
OR2J3,Singleton
GOLGA6L6,Singleton
GOLGA6B,Singleton
POTEM,Singleton
OR10H1,Singleton
OR7C2,Singleton
OPN1MW,Singleton
SPZ1,Singleton
NT5C1B,Singleton
FSCB,Singleton
USP17L2,Singleton
CAPZA3,Singleton
IL36A,Singleton
GALNTL5,Singleton
SPEM1,Singleton
POTEI,Singleton
OPN1LW,Singleton
KRT25,Singleton
GPR78,Singleton
PGA5,Singleton
IFNL3,Singleton
ENTHD1,Singleton
OR1F1,Singleton
TBC1D28,Singleton
ODF3,Singleton
GOLGA6D,Singleton
SPPL2C,Singleton
TPD52L3,Singleton
MCHR2,Singleton
ACTRT2,Singleton
STRA8,Singleton
LELP1,Singleton
SKOR2,Singleton
HEPN1,Singleton
KRTAP1-5,Singleton
SPANXC,Singleton
TAAR1,Singleton
KRT74,Singleton
OTOG,Singleton
NKX2-4,Singleton
PANX3,Singleton
HMGB4,Singleton
KRTAP1-1,Singleton
LYPD4,Singleton
DNAJB7,Singleton
CEACAM16,Singleton
DAOA,Singleton
AWAT2,Singleton
OR10H3,Singleton
STH,Singleton
PFN3,Singleton
ZIM3,Singleton
OPN5,Singleton
GOLGA6C,Singleton
IGH,Singleton
POTEE,Singleton
CLDN25,Singleton
SLC36A3,Singleton
IGSF23,Singleton
MSANTD3-TMEFF1,Singleton
SPINK8,Singleton
POTEH,Singleton
TRIM42,Singleton
DMRTC2,Singleton
SCGB1D1,Singleton
TMPRSS12,Singleton
IQCF3,Singleton
TMPRSS11F,Singleton
CLDN22,Singleton
PRM3,Singleton
POM121L12,Singleton
TAS1R2,Singleton
FABP12,Singleton
PDILT,Singleton
NKX6-3,Singleton
TRIM49C,Singleton
OTOP3,Singleton
NXNL1,Singleton
CST9,Singleton
NBPF19,Singleton
AWAT1,Singleton
TTLL8,Singleton
SPATA16,Singleton
SLC7A13,Singleton
CIB3,Singleton
GIMAP1-GIMAP5,Singleton
POTED,Singleton
GRXCR1,Singleton
LRRC70,Singleton
OR1A2,Singleton
PTCHD3,Singleton
BPIFA3,Singleton
GABRR3,Singleton
SIRPD,Singleton
KRTAP2-3,Singleton
KHDC1L,Singleton
TMEM174,Singleton
BHLHA9,Singleton
OTUD6A,Singleton
SULT1C3,Singleton
PRAC1,Singleton
ABHD16B,Singleton
DEFB103B,Singleton
IFNL2,Singleton
CD200R1L,Singleton
RNASE10,Singleton
PABPC1L2B,Singleton
TRIML1,Singleton
PRAMEF8,Singleton
IGK,Singleton
VCX,Singleton
LRRC52,Singleton
OR4N2,Singleton
MBD3L2,Singleton
GRAPL,Singleton
OR9Q1,Singleton
IGFL3,Singleton
TMPRSS7,Singleton
FOXB2,Singleton
TMCO5A,Singleton
CPLX4,Singleton
SAMD7,Singleton
USP17L5,Singleton
KRBA2,Singleton
SPINK6,Singleton
TRA,Singleton
LRRC51,Singleton
CABS1,Singleton
POTEJ,Singleton
RFPL4B,Singleton
FRG2C,Singleton
LYZL1,Singleton
SPATA19,Singleton
RFPL4A,Singleton
TAS2R38,Singleton
TGM6,Singleton
SRRM5,Singleton
SLC15A5,Singleton
SUN5,Singleton
NLRP8,Singleton
OR1E2,Singleton
MCTS2,Singleton
MSMP,Singleton
FOXR1,Singleton
TSGA13,Singleton
ARGFX,Singleton
RNASE11,Singleton
RPS4Y2,Singleton
KNCN,Singleton
LRIT2,Singleton
IL36B,Singleton
KRT40,Singleton
PGBD3,Singleton
TMIGD3,Singleton
GUCA1C,Singleton
TBC1D26,Singleton
IL31,Singleton
R3HDML,Singleton
MRGPRX1,Singleton
GPR119,Singleton
SPANXB1,Singleton
TRIM49,Singleton
AADACL3,Singleton
OR2C3,Singleton
USP26,Singleton
DEFB118,Singleton
TRIM60,Singleton
KCNK18,Singleton
TCHHL1,Singleton
CEACAM20,Singleton
KRT28,Singleton
TXNDC8,Singleton
SLC35G3,Singleton
